[KGenerating Samples |#######################         | (189/256) Sample Time: 5.568s | Infer Batch: 40.7 | Total: 0:17:37 | ETA: 0:00:01
[KGenerating Samples |#######################         | (189/256) Sample Time: 5.568s | Infer Batch: 40.7 | Total: 0:17:39 | ETA: 0:00:01
[KGenerating Samples |#######################         | (190/256) Sample Time: 5.578s | Infer Batch: 40.7 | Total: 0:17:40 | ETA: 0:00:01
[KGenerating Samples |#######################         | (191/256) Sample Time: 5.554s | Infer Batch: 40.7 | Total: 0:17:41 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 5.527s | Infer Batch: 40.7 | Total: 0:17:42 | ETA: 0:00:01
[KGenerating Samples |########################        | (192/256) Sample Time: 5.527s | Infer Batch: 40.7 | Total: 0:17:43 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 5.510s | Infer Batch: 40.7 | Total: 0:17:44 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 5.510s | Infer Batch: 40.7 | Total: 0:17:45 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 5.510s | Infer Batch: 40.7 | Total: 0:17:46 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 5.510s | Infer Batch: 40.7 | Total: 0:17:47 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 5.510s | Infer Batch: 40.7 | Total: 0:17:48 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 5.510s | Infer Batch: 40.7 | Total: 0:17:49 | ETA: 0:00:01
[KGenerating Samples |########################        | (193/256) Sample Time: 5.510s | Infer Batch: 40.7 | Total: 0:17:50 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 5.517s | Infer Batch: 40.7 | Total: 0:17:51 | ETA: 0:00:01
[KGenerating Samples |########################        | (194/256) Sample Time: 5.517s | Infer Batch: 40.7 | Total: 0:17:52 | ETA: 0:00:01
[KGenerating Samples |########################        | (195/256) Sample Time: 5.501s | Infer Batch: 40.7 | Total: 0:17:53 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 5.452s | Infer Batch: 40.7 | Total: 0:17:54 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 5.452s | Infer Batch: 40.7 | Total: 0:17:55 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 5.452s | Infer Batch: 40.7 | Total: 0:17:56 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 5.452s | Infer Batch: 40.7 | Total: 0:17:57 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 5.452s | Infer Batch: 40.7 | Total: 0:17:58 | ETA: 0:00:01
[KGenerating Samples |########################        | (197/256) Sample Time: 5.452s | Infer Batch: 40.7 | Total: 0:17:59 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 5.454s | Infer Batch: 40.7 | Total: 0:18:00 | ETA: 0:00:01
[KGenerating Samples |########################        | (198/256) Sample Time: 5.454s | Infer Batch: 40.7 | Total: 0:18:01 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.437s | Infer Batch: 40.7 | Total: 0:18:02 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.437s | Infer Batch: 40.7 | Total: 0:18:03 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.437s | Infer Batch: 40.7 | Total: 0:18:04 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.437s | Infer Batch: 40.7 | Total: 0:18:05 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.437s | Infer Batch: 40.7 | Total: 0:18:06 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.437s | Infer Batch: 40.7 | Total: 0:18:07 | ETA: 0:00:01
[KGenerating Samples |########################        | (199/256) Sample Time: 5.437s | Infer Batch: 40.7 | Total: 0:18:08 | ETA: 0:00:01
[KGenerating Samples |#########################       | (201/256) Sample Time: 5.415s | Infer Batch: 40.7 | Total: 0:18:09 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 5.367s | Infer Batch: 40.7 | Total: 0:18:10 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 5.367s | Infer Batch: 40.7 | Total: 0:18:11 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 5.367s | Infer Batch: 40.7 | Total: 0:18:12 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 5.367s | Infer Batch: 40.7 | Total: 0:18:13 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 5.367s | Infer Batch: 40.7 | Total: 0:18:14 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 5.367s | Infer Batch: 40.7 | Total: 0:18:15 | ETA: 0:00:01
[KGenerating Samples |#########################       | (203/256) Sample Time: 5.367s | Infer Batch: 40.7 | Total: 0:18:16 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 5.350s | Infer Batch: 40.7 | Total: 0:18:17 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 5.350s | Infer Batch: 40.7 | Total: 0:18:18 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 5.350s | Infer Batch: 40.7 | Total: 0:18:19 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 5.350s | Infer Batch: 40.7 | Total: 0:18:20 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 5.341s | Infer Batch: 40.7 | Total: 0:18:21 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 5.296s | Infer Batch: 40.7 | Total: 0:18:22 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 5.296s | Infer Batch: 40.7 | Total: 0:18:23 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 5.296s | Infer Batch: 40.7 | Total: 0:18:24 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 5.296s | Infer Batch: 40.7 | Total: 0:18:25 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 5.291s | Infer Batch: 40.7 | Total: 0:18:26 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 5.291s | Infer Batch: 40.7 | Total: 0:18:27 | ETA: 0:00:01
[KGenerating Samples |##########################      | (209/256) Sample Time: 5.291s | Infer Batch: 40.7 | Total: 0:18:28 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 5.281s | Infer Batch: 40.7 | Total: 0:18:29 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 5.281s | Infer Batch: 40.7 | Total: 0:18:30 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 5.281s | Infer Batch: 40.7 | Total: 0:18:31 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 5.281s | Infer Batch: 40.7 | Total: 0:18:32 | ETA: 0:00:01
[KGenerating Samples |##########################      | (210/256) Sample Time: 5.281s | Infer Batch: 40.7 | Total: 0:18:33 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 5.279s | Infer Batch: 40.7 | Total: 0:18:34 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 5.279s | Infer Batch: 40.7 | Total: 0:18:35 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 5.279s | Infer Batch: 40.7 | Total: 0:18:36 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 5.279s | Infer Batch: 40.7 | Total: 0:18:37 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 5.279s | Infer Batch: 40.7 | Total: 0:18:38 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 5.276s | Infer Batch: 40.7 | Total: 0:18:39 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 5.276s | Infer Batch: 40.7 | Total: 0:18:40 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 5.276s | Infer Batch: 40.7 | Total: 0:18:41 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 5.276s | Infer Batch: 40.7 | Total: 0:18:42 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 5.276s | Infer Batch: 40.7 | Total: 0:18:43 | ETA: 0:00:01
[KGenerating Samples |##########################      | (212/256) Sample Time: 5.276s | Infer Batch: 40.7 | Total: 0:18:44 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 5.282s | Infer Batch: 40.7 | Total: 0:18:45 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 5.282s | Infer Batch: 40.7 | Total: 0:18:46 | ETA: 0:00:01
[KGenerating Samples |##########################      | (213/256) Sample Time: 5.282s | Infer Batch: 40.7 | Total: 0:18:47 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.269s | Infer Batch: 40.7 | Total: 0:18:48 | ETA: 0:00:01
[KGenerating Samples |##########################      | (214/256) Sample Time: 5.269s | Infer Batch: 40.7 | Total: 0:18:49 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:50 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:51 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:52 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:53 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:54 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:55 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:56 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:57 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:58 | ETA: 0:00:01
[KGenerating Samples |###########################     | (216/256) Sample Time: 5.234s | Infer Batch: 40.7 | Total: 0:18:59 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:00 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:01 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:02 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:03 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:04 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:05 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:06 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:07 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:08 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:09 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:10 | ETA: 0:00:01
[KGenerating Samples |###########################     | (217/256) Sample Time: 5.251s | Infer Batch: 40.7 | Total: 0:19:11 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:12 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:13 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:14 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:15 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:16 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:17 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:18 | ETA: 0:00:01
[KGenerating Samples |###########################     | (218/256) Sample Time: 5.284s | Infer Batch: 40.7 | Total: 0:19:19 | ETA: 0:00:01
