[KGenerating Samples |#########################       | (204/256) Sample Time: 6.356s | Infer Batch: 40.8 | Total: 0:21:40 | ETA: 0:00:01
[KGenerating Samples |#########################       | (204/256) Sample Time: 6.356s | Infer Batch: 40.8 | Total: 0:21:41 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 6.353s | Infer Batch: 40.8 | Total: 0:21:42 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 6.353s | Infer Batch: 40.8 | Total: 0:21:43 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 6.353s | Infer Batch: 40.8 | Total: 0:21:44 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 6.353s | Infer Batch: 40.8 | Total: 0:21:45 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 6.353s | Infer Batch: 40.8 | Total: 0:21:46 | ETA: 0:00:01
[KGenerating Samples |#########################       | (205/256) Sample Time: 6.353s | Infer Batch: 40.8 | Total: 0:21:47 | ETA: 0:00:01
[KGenerating Samples |#########################       | (206/256) Sample Time: 6.352s | Infer Batch: 40.8 | Total: 0:21:48 | ETA: 0:00:01
[KGenerating Samples |#########################       | (207/256) Sample Time: 6.325s | Infer Batch: 40.8 | Total: 0:21:49 | ETA: 0:00:01
[KGenerating Samples |#########################       | (207/256) Sample Time: 6.325s | Infer Batch: 40.8 | Total: 0:21:50 | ETA: 0:00:01
[KGenerating Samples |#########################       | (207/256) Sample Time: 6.325s | Infer Batch: 40.8 | Total: 0:21:51 | ETA: 0:00:01
[KGenerating Samples |#########################       | (207/256) Sample Time: 6.325s | Infer Batch: 40.8 | Total: 0:21:52 | ETA: 0:00:01
[KGenerating Samples |#########################       | (207/256) Sample Time: 6.325s | Infer Batch: 40.8 | Total: 0:21:53 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 6.317s | Infer Batch: 40.8 | Total: 0:21:54 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 6.317s | Infer Batch: 40.8 | Total: 0:21:55 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 6.317s | Infer Batch: 40.8 | Total: 0:21:56 | ETA: 0:00:01
[KGenerating Samples |##########################      | (208/256) Sample Time: 6.317s | Infer Batch: 40.8 | Total: 0:21:57 | ETA: 0:00:01
[KGenerating Samples |##########################      | (211/256) Sample Time: 6.248s | Infer Batch: 40.8 | Total: 0:21:58 | ETA: 0:00:01
