[KGenerating Samples |#############                   | (106/256) Sample Time: 5.248s | Infer Batch: 42.0 | Total: 0:09:17 | ETA: 0:00:02
[KGenerating Samples |#############                   | (106/256) Sample Time: 5.248s | Infer Batch: 42.0 | Total: 0:09:18 | ETA: 0:00:02
[KGenerating Samples |#############                   | (107/256) Sample Time: 5.227s | Infer Batch: 42.0 | Total: 0:09:19 | ETA: 0:00:02
[KGenerating Samples |#############                   | (108/256) Sample Time: 5.186s | Infer Batch: 42.0 | Total: 0:09:20 | ETA: 0:00:02
[KGenerating Samples |#############                   | (111/256) Sample Time: 5.060s | Infer Batch: 42.0 | Total: 0:09:21 | ETA: 0:00:03
[KGenerating Samples |##############                  | (112/256) Sample Time: 5.026s | Infer Batch: 42.0 | Total: 0:09:22 | ETA: 0:00:03
[KGenerating Samples |##############                  | (112/256) Sample Time: 5.026s | Infer Batch: 42.0 | Total: 0:09:24 | ETA: 0:00:03
[KGenerating Samples |##############                  | (114/256) Sample Time: 4.950s | Infer Batch: 42.0 | Total: 0:09:25 | ETA: 0:00:02
[KGenerating Samples |##############                  | (114/256) Sample Time: 4.950s | Infer Batch: 42.0 | Total: 0:09:26 | ETA: 0:00:02
[KGenerating Samples |##############                  | (114/256) Sample Time: 4.950s | Infer Batch: 42.0 | Total: 0:09:27 | ETA: 0:00:02
[KGenerating Samples |##############                  | (114/256) Sample Time: 4.950s | Infer Batch: 42.0 | Total: 0:09:28 | ETA: 0:00:02
[KGenerating Samples |##############                  | (117/256) Sample Time: 4.863s | Infer Batch: 42.0 | Total: 0:09:29 | ETA: 0:00:02
[KGenerating Samples |##############                  | (119/256) Sample Time: 4.784s | Infer Batch: 42.0 | Total: 0:09:30 | ETA: 0:00:03
[KGenerating Samples |###############                 | (121/256) Sample Time: 4.718s | Infer Batch: 42.0 | Total: 0:09:31 | ETA: 0:00:02
[KGenerating Samples |###############                 | (122/256) Sample Time: 4.682s | Infer Batch: 42.0 | Total: 0:09:32 | ETA: 0:00:02
[KGenerating Samples |###############                 | (124/256) Sample Time: 4.620s | Infer Batch: 42.0 | Total: 0:09:33 | ETA: 0:00:02
[KGenerating Samples |###############                 | (124/256) Sample Time: 4.620s | Infer Batch: 42.0 | Total: 0:09:34 | ETA: 0:00:02
