[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:40 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:41 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.0 | Total: 0:04:42 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.0 | Total: 0:04:43 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.0 | Total: 0:04:44 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.0 | Total: 0:04:45 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:46 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.0 | Total: 0:04:47 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.0 | Total: 0:04:48 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.0 | Total: 0:04:49 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.0 | Total: 0:04:50 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.0 | Total: 0:04:51 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:52 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:53 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:54 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:55 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:56 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:57 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:58 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:04:59 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:05:00 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:05:01 | ETA: 0:00:00
[KGenerating Samples |                                | (0/256) Sample Time: 0.000s | Infer Batch: 43.1 | Total: 0:05:02 | ETA: 0:00:00
[KGenerating Samples |                                | (1/256) Sample Time: 302.436s | Infer Batch: 43.1 | Total: 0:05:03 | ETA: 0:00:03
[KGenerating Samples |                                | (1/256) Sample Time: 302.436s | Infer Batch: 43.1 | Total: 0:05:04 | ETA: 0:00:03
[KGenerating Samples |                                | (1/256) Sample Time: 302.436s | Infer Batch: 43.1 | Total: 0:05:05 | ETA: 0:00:03
[KGenerating Samples |                                | (1/256) Sample Time: 302.436s | Infer Batch: 43.1 | Total: 0:05:06 | ETA: 0:00:03
[KGenerating Samples |                                | (1/256) Sample Time: 302.436s | Infer Batch: 43.1 | Total: 0:05:07 | ETA: 0:00:03
[KGenerating Samples |                                | (2/256) Sample Time: 153.929s | Infer Batch: 43.1 | Total: 0:05:08 | ETA: 0:00:03
[KGenerating Samples |                                | (2/256) Sample Time: 153.929s | Infer Batch: 43.1 | Total: 0:05:09 | ETA: 0:00:03
[KGenerating Samples |                                | (2/256) Sample Time: 153.929s | Infer Batch: 43.1 | Total: 0:05:10 | ETA: 0:00:03
[KGenerating Samples |                                | (2/256) Sample Time: 153.929s | Infer Batch: 43.1 | Total: 0:05:11 | ETA: 0:00:03
[KGenerating Samples |                                | (3/256) Sample Time: 103.995s | Infer Batch: 43.1 | Total: 0:05:12 | ETA: 0:00:03
[KGenerating Samples |                                | (3/256) Sample Time: 103.995s | Infer Batch: 43.1 | Total: 0:05:13 | ETA: 0:00:03
[KGenerating Samples |                                | (3/256) Sample Time: 103.995s | Infer Batch: 43.1 | Total: 0:05:14 | ETA: 0:00:03
[KGenerating Samples |                                | (3/256) Sample Time: 103.995s | Infer Batch: 43.1 | Total: 0:05:15 | ETA: 0:00:03
[KGenerating Samples |                                | (3/256) Sample Time: 103.995s | Infer Batch: 43.1 | Total: 0:05:16 | ETA: 0:00:03
[KGenerating Samples |                                | (4/256) Sample Time: 79.318s | Infer Batch: 43.1 | Total: 0:05:17 | ETA: 0:00:03
[KGenerating Samples |                                | (5/256) Sample Time: 63.537s | Infer Batch: 43.1 | Total: 0:05:18 | ETA: 0:00:04
[KGenerating Samples |                                | (7/256) Sample Time: 45.589s | Infer Batch: 43.1 | Total: 0:05:19 | ETA: 0:00:04
[KGenerating Samples |#                               | (8/256) Sample Time: 39.934s | Infer Batch: 43.1 | Total: 0:05:20 | ETA: 0:00:04
[KGenerating Samples |#                               | (9/256) Sample Time: 35.635s | Infer Batch: 43.1 | Total: 0:05:21 | ETA: 0:00:04
[KGenerating Samples |#                               | (12/256) Sample Time: 26.828s | Infer Batch: 43.1 | Total: 0:05:22 | ETA: 0:00:04
[KGenerating Samples |#                               | (14/256) Sample Time: 23.060s | Infer Batch: 43.1 | Total: 0:05:23 | ETA: 0:00:04
[KGenerating Samples |#                               | (14/256) Sample Time: 23.060s | Infer Batch: 43.1 | Total: 0:05:24 | ETA: 0:00:04
[KGenerating Samples |#                               | (15/256) Sample Time: 21.684s | Infer Batch: 43.1 | Total: 0:05:25 | ETA: 0:00:04
[KGenerating Samples |##                              | (16/256) Sample Time: 20.350s | Infer Batch: 43.1 | Total: 0:05:26 | ETA: 0:00:04
[KGenerating Samples |##                              | (18/256) Sample Time: 18.155s | Infer Batch: 43.1 | Total: 0:05:27 | ETA: 0:00:04
[KGenerating Samples |##                              | (20/256) Sample Time: 16.415s | Infer Batch: 43.1 | Total: 0:05:28 | ETA: 0:00:04
[KGenerating Samples |##                              | (22/256) Sample Time: 14.941s | Infer Batch: 43.1 | Total: 0:05:29 | ETA: 0:00:04
[KGenerating Samples |###                             | (26/256) Sample Time: 12.698s | Infer Batch: 43.1 | Total: 0:05:30 | ETA: 0:00:03
[KGenerating Samples |###                             | (26/256) Sample Time: 12.698s | Infer Batch: 43.1 | Total: 0:05:31 | ETA: 0:00:03
[KGenerating Samples |###                             | (29/256) Sample Time: 11.437s | Infer Batch: 43.1 | Total: 0:05:32 | ETA: 0:00:03
[KGenerating Samples |###                             | (31/256) Sample Time: 10.748s | Infer Batch: 43.1 | Total: 0:05:33 | ETA: 0:00:03
[KGenerating Samples |####                            | (34/256) Sample Time: 9.822s | Infer Batch: 43.1 | Total: 0:05:34 | ETA: 0:00:03
[KGenerating Samples |####                            | (34/256) Sample Time: 9.822s | Infer Batch: 43.2 | Total: 0:05:35 | ETA: 0:00:03
[KGenerating Samples |####                            | (36/256) Sample Time: 9.321s | Infer Batch: 43.2 | Total: 0:05:36 | ETA: 0:00:03
[KGenerating Samples |####                            | (36/256) Sample Time: 9.321s | Infer Batch: 43.2 | Total: 0:05:37 | ETA: 0:00:03
[KGenerating Samples |####                            | (36/256) Sample Time: 9.321s | Infer Batch: 43.2 | Total: 0:05:38 | ETA: 0:00:03
[KGenerating Samples |####                            | (39/256) Sample Time: 8.701s | Infer Batch: 43.2 | Total: 0:05:39 | ETA: 0:00:03
[KGenerating Samples |#####                           | (40/256) Sample Time: 8.486s | Infer Batch: 43.2 | Total: 0:05:40 | ETA: 0:00:03
[KGenerating Samples |#####                           | (43/256) Sample Time: 7.934s | Infer Batch: 43.2 | Total: 0:05:41 | ETA: 0:00:03
[KGenerating Samples |#####                           | (43/256) Sample Time: 7.934s | Infer Batch: 43.2 | Total: 0:05:42 | ETA: 0:00:03
[KGenerating Samples |#####                           | (43/256) Sample Time: 7.934s | Infer Batch: 43.2 | Total: 0:05:43 | ETA: 0:00:03
[KGenerating Samples |#####                           | (44/256) Sample Time: 7.818s | Infer Batch: 43.2 | Total: 0:05:44 | ETA: 0:00:03
[KGenerating Samples |#####                           | (47/256) Sample Time: 7.341s | Infer Batch: 43.2 | Total: 0:05:45 | ETA: 0:00:03
[KGenerating Samples |######                          | (48/256) Sample Time: 7.204s | Infer Batch: 43.2 | Total: 0:05:46 | ETA: 0:00:03
