[KGenerating Samples |#############################   | (239/256) Sample Time: 9.893s | Infer Batch: 39.8 | Total: 0:39:46 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 9.893s | Infer Batch: 39.8 | Total: 0:39:47 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 9.893s | Infer Batch: 39.8 | Total: 0:39:48 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 9.893s | Infer Batch: 39.8 | Total: 0:39:49 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 9.893s | Infer Batch: 39.8 | Total: 0:39:50 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 9.893s | Infer Batch: 39.8 | Total: 0:39:51 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 9.893s | Infer Batch: 39.8 | Total: 0:39:52 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 9.893s | Infer Batch: 39.8 | Total: 0:39:53 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 9.893s | Infer Batch: 39.8 | Total: 0:39:54 | ETA: 0:00:01
[KGenerating Samples |#############################   | (239/256) Sample Time: 9.893s | Infer Batch: 39.8 | Total: 0:39:55 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 9.981s | Infer Batch: 39.8 | Total: 0:39:56 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 9.981s | Infer Batch: 39.8 | Total: 0:39:57 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 9.981s | Infer Batch: 39.8 | Total: 0:39:58 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 9.981s | Infer Batch: 39.8 | Total: 0:39:59 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 9.981s | Infer Batch: 39.8 | Total: 0:40:00 | ETA: 0:00:01
[KGenerating Samples |##############################  | (240/256) Sample Time: 9.981s | Infer Batch: 39.8 | Total: 0:40:01 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:02 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:03 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:04 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:05 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:06 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:07 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:08 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:09 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:10 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:11 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:12 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:13 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:14 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:15 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:16 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:17 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:18 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:19 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:20 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:21 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:22 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:23 | ETA: 0:00:01
[KGenerating Samples |##############################  | (241/256) Sample Time: 9.968s | Infer Batch: 39.8 | Total: 0:40:24 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:25 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:26 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:27 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:28 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:29 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:30 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:31 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:32 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:33 | ETA: 0:00:01
[KGenerating Samples |##############################  | (242/256) Sample Time: 10.019s | Infer Batch: 39.8 | Total: 0:40:34 | ETA: 0:00:01
